,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소,y
1470,2022-06-22,1.0059236223550925,0.9893317167512522,1.0115150753616438,1.0059236223550925,1.0059236223550925,-0.005648720971875053,-0.005648720971875053,-0.005648720971875053,-0.0049976503299125055,-0.0049976503299125055,-0.0049976503299125055,-0.0006510706419625473,-0.0006510706419625473,-0.0006510706419625473,0.0,0.0,0.0,1.0002749013832175,0.9994556
1471,2022-06-23,1.0059303327241722,0.9893061353312784,1.012352765846262,1.0059303327241722,1.0059303327241722,-0.004991476782230221,-0.004991476782230221,-0.004991476782230221,-0.004291792639842103,-0.004291792639842103,-0.004291792639842103,-0.000699684142388118,-0.000699684142388118,-0.000699684142388118,0.0,0.0,0.0,1.0009388559419419,0.9991785
1472,2022-06-24,1.005937043093252,0.989616414454555,1.0125162311419127,1.005937043093252,1.005937043093252,-0.005071558411631623,-0.005071558411631623,-0.005071558411631623,-0.004326628845778276,-0.004326628845778276,-0.004326628845778276,-0.0007449295658533462,-0.0007449295658533462,-0.0007449295658533462,0.0,0.0,0.0,1.0008654846816203,0.9994571
1473,2022-06-27,1.005957174200491,0.9890203616362152,1.01160986147882,1.005957174200491,1.005957174200491,-0.005373753119201655,-0.005373753119201655,-0.005373753119201655,-0.004519495929460734,-0.004519495929460734,-0.004519495929460734,-0.0008542571897409209,-0.0008542571897409209,-0.0008542571897409209,0.0,0.0,0.0,1.0005834210812892,1.0075926
1474,2022-06-30,1.0059773053077299,0.9895780475728068,1.0117871432263699,1.0059773053077299,1.0059773053077299,-0.005199528483108193,-0.005199528483108193,-0.005199528483108193,-0.004291792639831441,-0.004291792639831441,-0.004291792639831441,-0.0009077358432767518,-0.0009077358432767518,-0.0009077358432767518,0.0,0.0,0.0,1.0007777768246218,1.005316
1475,2022-07-01,1.0059840156768096,0.9900357528687813,1.0121106591310243,1.0059840156768096,1.0059840156768096,-0.005235578759509994,-0.005235578759509994,-0.005235578759509994,-0.004326628845767072,-0.004326628845767072,-0.004326628845767072,-0.0009089499137429226,-0.0009089499137429226,-0.0009089499137429226,0.0,0.0,0.0,1.0007484369172996,1.0055667
1476,2022-07-04,1.0060041467840486,0.9894799569673032,1.0121294070680098,1.0060041467840486,1.0060041467840486,-0.005368721983262556,-0.005368721983262556,-0.005368721983262556,-0.004519495929459772,-0.004519495929459772,-0.004519495929459772,-0.0008492260538027841,-0.0008492260538027841,-0.0008492260538027841,0.0,0.0,0.0,1.000635424800786,1.0055656
1477,2022-07-08,1.0060309882603673,0.9901242037736439,1.0112915854008522,1.0060309882603673,1.0060309882603673,-0.004917278171943297,-0.004917278171943297,-0.004917278171943297,-0.004326628845755866,-0.004326628845755866,-0.004326628845755866,-0.0005906493261874306,-0.0005906493261874306,-0.0005906493261874306,0.0,0.0,0.0,1.001113710088424,1.0055622
1478,2022-07-12,1.006057829736686,0.9887638007782533,1.0116294320797976,1.006057829736686,1.006057829736686,-0.0046561316106639656,-0.0046561316106639656,-0.0046561316106639656,-0.004551749711606346,-0.004551749711606346,-0.004551749711606346,-0.00010438189905761957,-0.00010438189905761957,-0.00010438189905761957,0.0,0.0,0.0,1.001401698126022,0.9999987
1479,2022-07-13,1.0060645401057657,0.989218938808686,1.013152167018772,1.0060645401057657,1.0060645401057657,-0.004946958745001145,-0.004946958745001145,-0.004946958745001145,-0.004997650329912037,-0.004997650329912037,-0.004997650329912037,5.069158491089129e-05,5.069158491089129e-05,5.069158491089129e-05,0.0,0.0,0.0,1.0011175813607647,1.0075945
