ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)태원종합기술단건축사사무소
2018-02-28,1.005563490225177,0.9917588507885361,1.017754797626506,1.005563490225177,1.005563490225177,-0.00031148631310768554,-0.00031148631310768554,-0.00031148631310768554,0.00017801042192166147,0.00017801042192166147,0.00017801042192166147,-0.000489496735029347,-0.000489496735029347,-0.000489496735029347,0.0,0.0,0.0,1.0052520039120694
2018-03-02,1.0056200173222702,0.9923505258824982,1.0192833750464074,1.0056200173222702,1.0056200173222702,-8.386439059259867e-05,-8.386439059259867e-05,-8.386439059259867e-05,0.00040799534184530524,0.00040799534184530524,0.00040799534184530524,-0.0004918597324379038,-0.0004918597324379038,-0.0004918597324379038,0.0,0.0,0.0,1.0055361529316778
2018-03-06,1.0057330715164567,0.9932188092169266,1.01917695688632,1.0057330715164567,1.0057330715164567,0.00011730077234109997,0.00011730077234109997,0.00011730077234109997,0.0006646670663171522,0.0006646670663171522,0.0006646670663171522,-0.0005473662939760521,-0.0005473662939760521,-0.0005473662939760521,0.0,0.0,0.0,1.005850372288798
2018-03-08,1.0057895986135499,0.991728855255726,1.0198148166886383,1.0057895986135499,1.0057895986135499,-0.0001528031256457662,-0.0001528031256457662,-0.0001528031256457662,0.0004362114318282229,0.0004362114318282229,0.0004362114318282229,-0.0005890145574739891,-0.0005890145574739891,-0.0005890145574739891,0.0,0.0,0.0,1.0056367954879042
2018-03-14,1.0059591799048295,0.9922605478212446,1.0193708728041924,1.0059591799048295,1.0059591799048295,-0.0005303351626460732,-0.0005303351626460732,-0.0005303351626460732,0.0001780104219216639,0.0001780104219216639,0.0001780104219216639,-0.0007083455845677372,-0.0007083455845677372,-0.0007083455845677372,0.0,0.0,0.0,1.0054288447421835
2018-03-15,1.0059874434533762,0.9916802317121337,1.0196651947937747,1.0059874434533762,1.0059874434533762,-0.0002857754584602237,-0.0002857754584602237,-0.0002857754584602237,0.00043621143182865485,0.00043621143182865485,0.00043621143182865485,-0.0007219868902888786,-0.0007219868902888786,-0.0007219868902888786,0.0,0.0,0.0,1.005701667994916
2018-03-16,1.0060157070019229,0.992156729118012,1.020023174314559,1.0060157070019229,1.0060157070019229,-0.00032478178445488794,-0.00032478178445488794,-0.00032478178445488794,0.0004079953418439177,0.0004079953418439177,0.0004079953418439177,-0.0007327771262988056,-0.0007327771262988056,-0.0007327771262988056,0.0,0.0,0.0,1.005690925217468
2018-03-19,1.0061004976475625,0.9915193996088643,1.0208372340899248,1.0061004976475625,1.0061004976475625,-0.00030897315705122227,-0.00030897315705122227,-0.00030897315705122227,0.00043665224805944684,0.00043665224805944684,0.00043665224805944684,-0.0007456254051106691,-0.0007456254051106691,-0.0007456254051106691,0.0,0.0,0.0,1.0057915244905113
2018-03-22,1.0061852882932023,0.9917043511513751,1.0204062163903258,1.0061852882932023,1.0061852882932023,-0.00029093984296095434,-0.00029093984296095434,-0.00029093984296095434,0.00043621143182903985,0.00043621143182903985,0.00043621143182903985,-0.0007271512747899942,-0.0007271512747899942,-0.0007271512747899942,0.0,0.0,0.0,1.0058943484502414
2018-03-23,1.006213551841749,0.9917665711316664,1.0193280474722062,1.006213551841749,1.006213551841749,-0.0003063533268151137,-0.0003063533268151137,-0.0003063533268151137,0.000407995341843123,0.000407995341843123,0.000407995341843123,-0.0007143486686582367,-0.0007143486686582367,-0.0007143486686582367,0.0,0.0,0.0,1.005907198514934
