ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한국종합건축사사무소
2016-03-31,0.9914241655573808,0.9799999021741171,1.0007962700802204,0.9914241655573808,0.9914241655573808,-0.0005353253106005355,-0.0005353253106005355,-0.0005353253106005355,0.0005216538611332366,0.0005216538611332366,0.0005216538611332366,-0.0010569791717337722,-0.0010569791717337722,-0.0010569791717337722,0.0,0.0,0.0,0.9908888402467803
2016-04-01,0.9914194903298417,0.9806479415497465,1.00274988777018,0.9914194903298417,0.9914194903298417,-0.00014257716894929188,-0.00014257716894929188,-0.00014257716894929188,0.0009114508206377156,0.0009114508206377156,0.0009114508206377156,-0.0010540279895870075,-0.0010540279895870075,-0.0010540279895870075,0.0,0.0,0.0,0.9912769131608924
2016-04-04,0.9914054646472246,0.9803979648296668,1.0017600473059545,0.9914054646472246,0.9914054646472246,-0.0003380602419080222,-0.0003380602419080222,-0.0003380602419080222,0.0006951899640914861,0.0006951899640914861,0.0006951899640914861,-0.0010332502059995083,-0.0010332502059995083,-0.0010332502059995083,0.0,0.0,0.0,0.9910674044053166
2016-04-05,0.9914007894196856,0.9810106971043481,1.00272379309311,0.9914007894196856,0.9914007894196856,0.00012625721186359482,0.00012625721186359482,0.00012625721186359482,0.0011493480661064436,0.0011493480661064436,0.0011493480661064436,-0.0010230908542428487,-0.0010230908542428487,-0.0010230908542428487,0.0,0.0,0.0,0.9915270466315491
2016-04-06,0.9913961141921466,0.9810792578448271,1.0016872239796057,0.9913961141921466,0.9913961141921466,6.926098049738432e-05,6.926098049738432e-05,6.926098049738432e-05,0.001080564667704296,0.001080564667704296,0.001080564667704296,-0.0010113036872069117,-0.0010113036872069117,-0.0010113036872069117,0.0,0.0,0.0,0.991465375172644
2016-04-07,0.9913914389646076,0.9804745139674885,1.0025071340141747,0.9913914389646076,0.9913914389646076,-0.00047599673685655897,-0.00047599673685655897,-0.00047599673685655897,0.000521653861133256,0.000521653861133256,0.000521653861133256,-0.000997650597989815,-0.000997650597989815,-0.000997650597989815,0.0,0.0,0.0,0.990915442227751
2016-04-08,0.9913867637370685,0.9813282666970192,1.0024294112740642,0.9913867637370685,0.9913867637370685,-7.02979516498403e-05,-7.02979516498403e-05,-7.02979516498403e-05,0.0009114508206378539,0.0009114508206378539,0.0009114508206378539,-0.0009817487722876943,-0.0009817487722876943,-0.0009817487722876943,0.0,0.0,0.0,0.9913164657854187
2016-04-11,0.9913727380544514,0.9805256995353914,1.0013270012914373,0.9913727380544514,0.9913727380544514,-0.00021970977720249158,-0.00021970977720249158,-0.00021970977720249158,0.0006951899640940535,0.0006951899640940535,0.0006951899640940535,-0.000914899741296545,-0.000914899741296545,-0.000914899741296545,0.0,0.0,0.0,0.9911530282772488
2016-04-12,0.9913680628269123,0.9809123063712814,1.0027079926350178,0.9913680628269123,0.9913680628269123,0.00026543926981973726,0.00026543926981973726,0.00026543926981973726,0.0011493480661033102,0.0011493480661033102,0.0011493480661033102,-0.000883908796283573,-0.000883908796283573,-0.000883908796283573,0.0,0.0,0.0,0.991633502096732
2016-04-14,0.9913587123718343,0.9791712216149855,1.0020105335807044,0.9913587123718343,0.9913587123718343,-0.00028259557488263733,-0.00028259557488263733,-0.00028259557488263733,0.000521653861134412,0.000521653861134412,0.000521653861134412,-0.0008042494360170493,-0.0008042494360170493,-0.0008042494360170493,0.0,0.0,0.0,0.9910761167969516
2016-04-15,0.9913540371442952,0.9812618479646223,1.0016598381059205,0.9913540371442952,0.9913540371442952,0.0001573575560838959,0.0001573575560838959,0.0001573575560838959,0.0009114508206417407,0.0009114508206417407,0.0009114508206417407,-0.0007540932645578448,-0.0007540932645578448,-0.0007540932645578448,0.0,0.0,0.0,0.9915113947003791
2016-04-18,0.9913400114616782,0.9806283192333057,1.0032521163127233,0.9913400114616782,0.9913400114616782,0.0001399473928727027,0.0001399473928727027,0.0001399473928727027,0.000695189964096621,0.000695189964096621,0.000695189964096621,-0.0005552425712239183,-0.0005552425712239183,-0.0005552425712239183,0.0,0.0,0.0,0.9914799588545509
2016-04-19,0.9913353362341392,0.9808402252522487,1.0026624637373058,0.9913353362341392,0.9913353362341392,0.0006776370583291441,0.0006776370583291441,0.0006776370583291441,0.0011493480661046208,0.0011493480661046208,0.0011493480661046208,-0.00047171100777547664,-0.00047171100777547664,-0.00047171100777547664,0.0,0.0,0.0,0.9920129732924683
2016-04-20,0.9913306610066001,0.9809484834514584,1.0031707504950311,0.9913306610066001,0.9913306610066001,0.0007010820346548741,0.0007010820346548741,0.0007010820346548741,0.0010805646677049545,0.0010805646677049545,0.0010805646677049545,-0.0003794826330500804,-0.0003794826330500804,-0.0003794826330500804,0.0,0.0,0.0,0.992031743041255
2016-04-27,0.9912979344138269,0.9823722493016261,1.0031599126952626,0.9912979344138269,0.9912979344138269,0.0015325889129218953,0.0015325889129218953,0.0015325889129218953,0.0010805646677039267,0.0010805646677039267,0.0010805646677039267,0.00045202424521796836,0.00045202424521796836,0.00045202424521796836,0.0,0.0,0.0,0.9928305233267487
