ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한림이앤씨건축사사무소
2018-11-09,1.001794011334339,0.9839053742971254,1.0123075690769492,1.001794011334339,1.001794011334339,-0.004948911891444766,-0.004948911891444766,-0.004948911891444766,-0.003445054837787429,-0.003445054837787429,-0.003445054837787429,-0.0015038570536573378,-0.0015038570536573378,-0.0015038570536573378,0.0,0.0,0.0,0.9968450994428943
2018-11-14,1.0017880392790246,0.9830396338248935,1.011196876324196,1.0017880392790246,1.0017880392790246,-0.005003784845198223,-0.005003784845198223,-0.005003784845198223,-0.0039010285693576756,-0.0039010285693576756,-0.0039010285693576756,-0.0011027562758405478,-0.0011027562758405478,-0.0011027562758405478,0.0,0.0,0.0,0.9967842544338263
2018-11-15,1.0017868448679617,0.9827943573694096,1.0117152723699823,1.0017868448679617,1.0017868448679617,-0.004310006239567161,-0.004310006239567161,-0.004310006239567161,-0.0032836336078252986,-0.0032836336078252986,-0.0032836336078252986,-0.0010263726317418626,-0.0010263726317418626,-0.0010263726317418626,0.0,0.0,0.0,0.9974768386283945
2018-11-16,1.0017856504568987,0.9822155151417051,1.0100081307707838,1.0017856504568987,1.0017856504568987,-0.0044001817139076435,-0.0044001817139076435,-0.0044001817139076435,-0.003445054837778291,-0.003445054837778291,-0.003445054837778291,-0.0009551268761293518,-0.0009551268761293518,-0.0009551268761293518,0.0,0.0,0.0,0.997385468742991
2018-11-20,1.0017808728126472,0.9842275469366196,1.0123889038506493,1.0017808728126472,1.0017808728126472,-0.004018068129944583,-0.004018068129944583,-0.004018068129944583,-0.0032703801978178778,-0.0032703801978178778,-0.0032703801978178778,-0.0007476879321267053,-0.0007476879321267053,-0.0007476879321267053,0.0,0.0,0.0,0.9977628046827026
2018-11-21,1.0017796784015842,0.9833954264375955,1.0118039107454022,1.0017796784015842,1.0017796784015842,-0.004621131412388856,-0.004621131412388856,-0.004621131412388856,-0.0039010285693581786,-0.0039010285693581786,-0.0039010285693581786,-0.0007201028430306774,-0.0007201028430306774,-0.0007201028430306774,0.0,0.0,0.0,0.9971585469891954
2018-11-23,1.0017772895794583,0.9842689128171653,1.0122938555954069,1.0017772895794583,1.0017772895794583,-0.004142897084818826,-0.004142897084818826,-0.004142897084818826,-0.003445054837787454,-0.003445054837787454,-0.003445054837787454,-0.0006978422470313719,-0.0006978422470313719,-0.0006978422470313719,0.0,0.0,0.0,0.9976343924946395
2018-11-27,1.0017725119352066,0.9838893269735369,1.0119991619903623,1.0017725119352066,1.0017725119352066,-0.004052471889884228,-0.004052471889884228,-0.004052471889884228,-0.003270380197826062,-0.003270380197826062,-0.003270380197826062,-0.0007820916920581658,-0.0007820916920581658,-0.0007820916920581658,0.0,0.0,0.0,0.9977200400453223
2018-11-30,1.001768928702018,0.9826718207386631,1.0125608411435512,1.001768928702018,1.001768928702018,-0.0043826835272992234,-0.0043826835272992234,-0.0043826835272992234,-0.0034450548378075637,-0.0034450548378075637,-0.0034450548378075637,-0.0009376286894916594,-0.0009376286894916594,-0.0009376286894916594,0.0,0.0,0.0,0.9973862451747187
2018-12-04,1.0017641510577664,0.9830584912923477,1.0114071233168225,1.0017641510577664,1.0017641510577664,-0.0044776521383848,-0.0044776521383848,-0.0044776521383848,-0.0032703801978225143,-0.0032703801978225143,-0.0032703801978225143,-0.0012072719405622856,-0.0012072719405622856,-0.0012072719405622856,0.0,0.0,0.0,0.9972864989193816
2018-12-06,1.0017617622356405,0.9831793571417007,1.0114063477702724,1.0017617622356405,1.0017617622356405,-0.004625800382233631,-0.004625800382233631,-0.004625800382233631,-0.003283633607830244,-0.003283633607830244,-0.003283633607830244,-0.0013421667744033874,-0.0013421667744033874,-0.0013421667744033874,0.0,0.0,0.0,0.9971359618534069
2018-12-07,1.0017605678245776,0.9829619025729742,1.0105725072422265,1.0017605678245776,1.0017605678245776,-0.0048494354900884785,-0.0048494354900884785,-0.0048494354900884785,-0.0034450548377874773,-0.0034450548377874773,-0.0034450548377874773,-0.0014043806523010014,-0.0014043806523010014,-0.0014043806523010014,0.0,0.0,0.0,0.9969111323344891
2018-12-10,1.001756984591389,0.9813470704915829,1.009720125873127,1.001756984591389,1.001756984591389,-0.00539383827653153,-0.00539383827653153,-0.00539383827653153,-0.0038398309697233435,-0.0038398309697233435,-0.0038398309697233435,-0.0015540073068081857,-0.0015540073068081857,-0.0015540073068081857,0.0,0.0,0.0,0.9963631463148575
2018-12-11,1.001755790180326,0.9826071455014095,1.0094414118360275,1.001755790180326,1.001755790180326,-0.004858142267189536,-0.004858142267189536,-0.004858142267189536,-0.0032703801978189685,-0.0032703801978189685,-0.0032703801978189685,-0.0015877620693705672,-0.0015877620693705672,-0.0015877620693705672,0.0,0.0,0.0,0.9968976479131365
2018-12-12,1.0017545957608887,0.9826980989750008,1.0113128048813282,1.0017545957608887,1.0017545957608887,-0.005512963038437139,-0.005512963038437139,-0.005512963038437139,-0.0039010285693577315,-0.0039010285693577315,-0.0039010285693577315,-0.0016119344690794075,-0.0016119344690794075,-0.0016119344690794075,0.0,0.0,0.0,0.9962416327224515
2018-12-13,1.001753401341451,0.983490204089163,1.009887284780369,1.001753401341451,1.001753401341451,-0.00490949652537866,-0.00490949652537866,-0.00490949652537866,-0.0032836336078339388,-0.0032836336078339388,-0.0032836336078339388,-0.0016258629175447212,-0.0016258629175447212,-0.0016258629175447212,0.0,0.0,0.0,0.9968439048160724
2018-12-14,1.0017522069220135,0.9833255159944556,1.0108040889460639,1.0017522069220135,1.0017522069220135,-0.005074122159768554,-0.005074122159768554,-0.005074122159768554,-0.0034450548378075884,-0.0034450548378075884,-0.0034450548378075884,-0.0016290673219609654,-0.0016290673219609654,-0.0016290673219609654,0.0,0.0,0.0,0.996678084762245
2018-12-17,1.0017486236637014,0.9813443470769435,1.0103157379134378,1.0017486236637014,1.0017486236637014,-0.005412175422559829,-0.005412175422559829,-0.005412175422559829,-0.0038398309697141608,-0.0038398309697141608,-0.0038398309697141608,-0.0015723444528456677,-0.0015723444528456677,-0.0015723444528456677,0.0,0.0,0.0,0.9963364482411416
2018-12-20,1.001745040405389,0.9819456807794524,1.0108470468010153,1.001745040405389,1.001745040405389,-0.00470333009782285,-0.00470333009782285,-0.00470333009782285,-0.0032836336078314954,-0.0032836336078314954,-0.0032836336078314954,-0.001419696489991355,-0.001419696489991355,-0.001419696489991355,0.0,0.0,0.0,0.997041710307566
