,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)케이디엔지니어링건축사사무소,y
163,2022-03-11,0.997520105266853,0.9877846369847819,1.009376099649001,0.997520105266853,0.997520105266853,0.0007835857141680864,0.0007835857141680864,0.0007835857141680864,0.0007835857141680864,0.0007835857141680864,0.0007835857141680864,0.0,0.0,0.0,0.998303690981021,1.0031268
164,2022-03-15,0.9975250634612992,0.9886534511084454,1.0099407621708085,0.9975250634612992,0.9975250634612992,0.0014429775273887301,0.0014429775273887301,0.0014429775273887301,0.0014429775273887301,0.0014429775273887301,0.0014429775273887301,0.0,0.0,0.0,0.998968040988688,1.0012885
165,2022-03-17,0.9975275425585225,0.9877735417230916,1.0087896570833816,0.9975275425585225,0.9975275425585225,0.0005914059584798892,0.0005914059584798892,0.0005914059584798892,0.0005914059584798892,0.0005914059584798892,0.0005914059584798892,0.0,0.0,0.0,0.9981189485170023,1.0051285
166,2022-03-18,0.9975287821612804,0.987986542706556,1.009054681588304,0.9975287821612804,0.9975287821612804,0.0007835857141652722,0.0007835857141652722,0.0007835857141652722,0.0007835857141652722,0.0007835857141652722,0.0007835857141652722,0.0,0.0,0.0,0.9983123678754456,0.9917569
167,2022-03-22,0.9975337405723119,0.9883342356664336,1.0097150931828822,0.9975337405723119,0.9975337405723119,0.0014429775273880768,0.0014429775273880768,0.0014429775273880768,0.0014429775273880768,0.0014429775273880768,0.0014429775273880768,0.0,0.0,0.0,0.9989767180997,0.997378
168,2022-03-24,0.9975362197778278,0.9878179766039827,1.0082278542426233,0.9975362197778278,0.9975362197778278,0.0005914059584826403,0.0005914059584826403,0.0005914059584826403,0.0005914059584826403,0.0005914059584826403,0.0005914059584826403,0.0,0.0,0.0,0.9981276257363104,0.9957634
169,2022-03-25,0.9975374593805856,0.9882714046245398,1.0080309639830893,0.9975374593805856,0.9975374593805856,0.0007835857141690209,0.0007835857141690209,0.0007835857141690209,0.0007835857141690209,0.0007835857141690209,0.0007835857141690209,0.0,0.0,0.0,0.9983210450947546,0.9965784
170,2022-03-28,0.9975411781888593,0.9862341452814645,1.0079867326343876,0.9975411781888593,0.9975411781888593,-0.00010828041948555741,-0.00010828041948555741,-0.00010828041948555741,-0.00010828041948555741,-0.00010828041948555741,-0.00010828041948555741,0.0,0.0,0.0,0.9974328977693738,0.9944871
171,2022-03-29,0.9975424177916172,0.9893484025672359,1.0091637163120681,0.9975424177916172,0.9975424177916172,0.0014429775273886644,0.0014429775273886644,0.0014429775273886644,0.0014429775273886644,0.0014429775273886644,0.0014429775273886644,0.0,0.0,0.0,0.9989853953190059,1.0081488
172,2022-03-31,0.9975448969971329,0.9871866511982595,1.0077940528364115,0.9975448969971329,0.9975448969971329,0.0005914059584853915,0.0005914059584853915,0.0005914059584853915,0.0005914059584853915,0.0005914059584853915,0.0005914059584853915,0.0,0.0,0.0,0.9981363029556183,1.0027267
173,2022-04-01,0.997553375423203,0.9874582695394887,1.0084818888844391,0.997553375423203,0.997553375423203,0.000783585714168953,0.000783585714168953,0.000783585714168953,0.000783585714168953,0.000783585714168953,0.000783585714168953,0.0,0.0,0.0,0.9983369611373719,0.9920689
