,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토문엔지니어링 건축사사무소,y
269,2022-09-07,0.993350118885059,0.9895805073788426,0.9964753953445289,0.9921701521754411,0.9945651609112764,-0.00015228313631810274,-0.00015228313631810274,-0.00015228313631810274,-0.00015228313631810274,-0.00015228313631810274,-0.00015228313631810274,0.0,0.0,0.0,0.9931978357487409,
270,2022-09-08,0.9933532553126296,0.9898424045267706,0.9967220240522747,0.9921391287935791,0.9946018388714674,0.00010559859572145562,0.00010559859572145562,0.00010559859572145562,0.00010559859572145562,0.00010559859572145562,0.00010559859572145562,0.0,0.0,0.0,0.9934588539083511,
271,2022-09-09,0.9933563917402003,0.9903632489893359,0.9972273855218718,0.9920986797196426,0.9946205022914578,0.00032083311945333234,0.00032083311945333234,0.00032083311945333234,0.00032083311945333234,0.00032083311945333234,0.00032083311945333234,0.0,0.0,0.0,0.9936772248596536,
272,2022-09-10,0.993359528167771,0.9891571848361126,0.9961147134920202,0.9920329085536835,0.9946390398511401,-0.00054833990621478,-0.00054833990621478,-0.00054833990621478,-0.00054833990621478,-0.00054833990621478,-0.00054833990621478,0.0,0.0,0.0,0.9928111882615561,
273,2022-09-11,0.9933626645953417,0.9895607274361068,0.9962485850446532,0.9919919163356153,0.9946585117675838,-0.0005483397890065832,-0.0005483397890065832,-0.0005483397890065832,-0.0005483397890065832,-0.0005483397890065832,-0.0005483397890065832,0.0,0.0,0.0,0.9928143248063351,
274,2022-09-12,0.9933658010229123,0.9901035793460321,0.9968796531767234,0.991966407133249,0.994715503955678,0.00011128862455195613,0.00011128862455195613,0.00011128862455195613,0.00011128862455195613,0.00011128862455195613,0.00011128862455195613,0.0,0.0,0.0,0.9934770896474643,
275,2022-09-13,0.9933689374504829,0.9903319205915074,0.9973198395367334,0.9919387650604538,0.9947724961437723,0.0007112424918142181,0.0007112424918142181,0.0007112424918142181,0.0007112424918142181,0.0007112424918142181,0.0007112424918142181,0.0,0.0,0.0,0.9940801799422971,
276,2022-09-14,0.9933720738780536,0.9894688691649081,0.996564255387931,0.9919112713372826,0.9948075446096944,-0.00015228313631739942,-0.00015228313631739942,-0.00015228313631739942,-0.00015228313631739942,-0.00015228313631739942,-0.00015228313631739942,0.0,0.0,0.0,0.9932197907417362,
277,2022-09-15,0.9933752103056244,0.9897811331241543,0.9970255549281047,0.9918793684141012,0.994865129537327,0.00010559859572155587,0.00010559859572155587,0.00010559859572155587,0.00010559859572155587,0.00010559859572155587,0.00010559859572155587,0.0,0.0,0.0,0.9934808089013459,
278,2022-09-16,0.993378346733195,0.9901680658592488,0.9969223545210736,0.9918422506188459,0.9949393264925492,0.00032083311945221756,0.00032083311945221756,0.00032083311945221756,0.00032083311945221756,0.00032083311945221756,0.00032083311945221756,0.0,0.0,0.0,0.9936991798526472,
279,2022-09-17,0.9933814831607656,0.9894233869428252,0.9963749396188597,0.991803185956588,0.9949813427655547,-0.0005483399062146731,-0.0005483399062146731,-0.0005483399062146731,-0.0005483399062146731,-0.0005483399062146731,-0.0005483399062146731,0.0,0.0,0.0,0.9928331432545509,
280,2022-09-18,0.9933846195883363,0.9892989942452229,0.9962880589692455,0.9917641212943301,0.995022910525983,-0.0005483397890082715,-0.0005483397890082715,-0.0005483397890082715,-0.0005483397890082715,-0.0005483397890082715,-0.0005483397890082715,0.0,0.0,0.0,0.9928362797993281,
281,2022-09-19,0.993387756015907,0.9896871034441753,0.9969916119826935,0.9917252054958232,0.9950642125411276,0.0001112886245488294,0.0001112886245488294,0.0001112886245488294,0.0001112886245488294,0.0001112886245488294,0.0001112886245488294,0.0,0.0,0.0,0.9934990446404558,
282,2022-09-20,0.9933908924434777,0.9905275168192871,0.997571302216649,0.9916863398717934,0.9950763562099041,0.0007112424918142662,0.0007112424918142662,0.0007112424918142662,0.0007112424918142662,0.0007112424918142662,0.0007112424918142662,0.0,0.0,0.0,0.994102134935292,
283,2022-09-21,0.9933940288710482,0.9897829411780307,0.997014102861061,0.9916474742477639,0.9950843688485288,-0.00015228313631750545,-0.00015228313631750545,-0.00015228313631750545,-0.00015228313631750545,-0.00015228313631750545,-0.00015228313631750545,0.0,0.0,0.0,0.9932417457347307,
284,2022-09-22,0.993397165298619,0.9897253516713659,0.9967498243472754,0.9916100991767267,0.9950920466312487,0.00010559859572165611,0.00010559859572165611,0.00010559859572165611,0.00010559859572165611,0.00010559859572165611,0.00010559859572165611,0.0,0.0,0.0,0.9935027638943407,
285,2022-09-23,0.9934003017261896,0.9900508575034779,0.9972516993529044,0.9915735876134679,0.9951021304064646,0.00032083311945226483,0.00032083311945226483,0.00032083311945226483,0.00032083311945226483,0.00032083311945226483,0.00032083311945226483,0.0,0.0,0.0,0.993721134845642,
286,2022-09-24,0.9934034381537603,0.9893053676372818,0.9965972198083725,0.9915340014149682,0.9951339095397435,-0.00054833990621648,-0.00054833990621648,-0.00054833990621648,-0.00054833990621648,-0.00054833990621648,-0.00054833990621648,0.0,0.0,0.0,0.9928550982475438,
287,2022-09-25,0.993406574581331,0.989222523361148,0.9965457731475165,0.9914944152164685,0.9951656886730225,-0.0005483397890083027,-0.0005483397890083027,-0.0005483397890083027,-0.0005483397890083027,-0.0005483397890083027,-0.0005483397890083027,0.0,0.0,0.0,0.9928582347923227,
288,2022-09-26,0.9934097110089016,0.9897225994204256,0.9973431914256057,0.9914660351722673,0.9951773249931369,0.00011128862454946375,0.00011128862454946375,0.00011128862454946375,0.00011128862454946375,0.00011128862454946375,0.00011128862454946375,0.0,0.0,0.0,0.9935209996334511,
289,2022-09-27,0.9934128474364723,0.9905248068782522,0.997833863100695,0.9914273875218114,0.9951810008446975,0.0007112424918143145,0.0007112424918143145,0.0007112424918143145,0.0007112424918143145,0.0007112424918143145,0.0007112424918143145,0.0,0.0,0.0,0.9941240899282866,
