,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토펙엔지니어링건축사사무소,y
430,2023-02-18,1.0142625976711754,0.9780633029861856,1.0445144694253072,0.9831853422195906,1.0422013672604091,-0.0027329988655186922,-0.0027329988655186922,-0.0027329988655186922,-0.0027329988655186922,-0.0027329988655186922,-0.0027329988655186922,0.0,0.0,0.0,1.0115295988056567,
431,2023-02-19,1.0143212796820316,0.9778865382698495,1.0430970588997373,0.9830398503846588,1.0423429740559962,-0.002732996357430226,-0.002732996357430226,-0.002732996357430226,-0.002732996357430226,-0.002732996357430226,-0.002732996357430226,0.0,0.0,0.0,1.0115882833246013,
432,2023-02-20,1.014379961692888,0.9810371169656271,1.045126446854535,0.9828943585497268,1.0424794467322949,-9.289108682989633e-05,-9.289108682989633e-05,-9.289108682989633e-05,-9.289108682989633e-05,-9.289108682989633e-05,-9.289108682989633e-05,0.0,0.0,0.0,1.014287070606058,
433,2023-02-21,1.014438643703744,0.9813181392231338,1.0484902950825203,0.9827460314438244,1.0426165872061348,0.0014703660696227412,0.0014703660696227412,0.0014703660696227412,0.0014703660696227412,0.0014703660696227412,0.0014703660696227412,0.0,0.0,0.0,1.0159090097733667,
434,2023-02-22,1.0144973257146002,0.98306821916415,1.0498444779365914,0.9826246501456115,1.0428677009891205,0.002226628608314274,0.002226628608314274,0.002226628608314274,0.002226628608314274,0.002226628608314274,0.002226628608314274,0.0,0.0,0.0,1.0167239543229145,
435,2023-02-23,1.0145560077254563,0.9825961649786373,1.0471640097774197,0.9824993756007789,1.043118814772106,0.0018893053962964093,0.0018893053962964093,0.0018893053962964093,0.0018893053962964093,0.0018893053962964093,0.0018893053962964093,0.0,0.0,0.0,1.0164453131217528,
436,2023-02-24,1.0146146897363124,0.9775435599337124,1.0452563277000126,0.9823741010559466,1.043369928555092,-2.7413764443407104e-05,-2.7413764443407104e-05,-2.7413764443407104e-05,-2.7413764443407104e-05,-2.7413764443407104e-05,-2.7413764443407104e-05,0.0,0.0,0.0,1.014587275971869,
437,2023-02-25,1.0146733717471685,0.9784355399572986,1.0452088699985087,0.9822493876209422,1.0436210423380774,-0.002732998865519795,-0.002732998865519795,-0.002732998865519795,-0.002732998865519795,-0.002732998865519795,-0.002732998865519795,0.0,0.0,0.0,1.0119403728816487,
438,2023-02-26,1.0147320537580247,0.977601462095554,1.0440832864471785,0.9821235519662818,1.0438721561210629,-0.0027329963574290505,-0.0027329963574290505,-0.0027329963574290505,-0.0027329963574290505,-0.0027329963574290505,-0.0027329963574290505,0.0,0.0,0.0,1.0119990574005957,
439,2023-02-27,1.0147907357688808,0.9801179802599066,1.0465126900976331,0.9819982774214492,1.0441232699040488,-9.289108682833534e-05,-9.289108682833534e-05,-9.289108682833534e-05,-9.289108682833534e-05,-9.289108682833534e-05,-9.289108682833534e-05,0.0,0.0,0.0,1.0146978446820525,
440,2023-02-28,1.014849417779737,0.9814882437351401,1.0499842151960703,0.9818730028766169,1.044372986245279,0.0014703660696194529,0.0014703660696194529,0.0014703660696194529,0.0014703660696194529,0.0014703660696194529,0.0014703660696194529,0.0,0.0,0.0,1.0163197838493563,
441,2023-03-01,1.014908099790593,0.9783330492076471,1.0488645502490226,0.9817477283317845,1.044622370512531,0.002226628608314701,0.002226628608314701,0.002226628608314701,0.002226628608314701,0.002226628608314701,0.002226628608314701,0.0,0.0,0.0,1.0171347283989078,
442,2023-03-02,1.0149667818014494,0.9810018433098223,1.0517156064520572,0.9815709560779051,1.0448717547797828,0.001889305396295851,0.001889305396295851,0.001889305396295851,0.001889305396295851,0.001889305396295851,0.001889305396295851,0.0,0.0,0.0,1.0168560871977452,
443,2023-03-03,1.0150254638123055,0.9781881418473022,1.048931779644794,0.9814396301023789,1.0451211390470345,-2.7413764445721883e-05,-2.7413764445721883e-05,-2.7413764445721883e-05,-2.7413764445721883e-05,-2.7413764445721883e-05,-2.7413764445721883e-05,0.0,0.0,0.0,1.0149980500478597,
444,2023-03-04,1.0150841458231616,0.9785818201399279,1.0438826563924222,0.9813083041268525,1.0453591519401984,-0.002732998865520898,-0.002732998865520898,-0.002732998865520898,-0.002732998865520898,-0.002732998865520898,-0.002732998865520898,0.0,0.0,0.0,1.0123511469576407,
445,2023-03-05,1.0151428278340178,0.9788832062018111,1.0472394911310907,0.9811776064852032,1.0455010278438657,-0.0027329963574272437,-0.0027329963574272437,-0.0027329963574272437,-0.0027329963574272437,-0.0027329963574272437,-0.0027329963574272437,0.0,0.0,0.0,1.0124098314765906,
446,2023-03-06,1.0152015098448741,0.9784945738475812,1.047654001843791,0.9810490295036948,1.0456429037475328,-9.289108683624047e-05,-9.289108683624047e-05,-9.289108683624047e-05,-9.289108683624047e-05,-9.289108683624047e-05,-9.289108683624047e-05,0.0,0.0,0.0,1.0151086187580378,
447,2023-03-07,1.01526019185573,0.9812372155836578,1.0506230967803787,0.9809204525221862,1.0457847796512003,0.0014703660696202138,0.0014703660696202138,0.0014703660696202138,0.0014703660696202138,0.0014703660696202138,0.0014703660696202138,0.0,0.0,0.0,1.0167305579253503,
448,2023-03-08,1.0153188738665861,0.9830008795391467,1.0492812359151078,0.9807918755406776,1.0459266555548676,0.002226628608314585,0.002226628608314585,0.002226628608314585,0.002226628608314585,0.002226628608314585,0.002226628608314585,0.0,0.0,0.0,1.0175455024749007,
449,2023-03-09,1.0153775558774425,0.982217816665696,1.0527196828835192,0.9806632985591692,1.0460685314585347,0.0018893053962952923,0.0018893053962952923,0.0018893053962952923,0.0018893053962952923,0.0018893053962952923,0.0018893053962952923,0.0,0.0,0.0,1.0172668612737379,
450,2023-03-10,1.0154362378882984,0.9795632407700057,1.0507479451813395,0.9805347215776606,1.0462104073622023,-2.7413764447313237e-05,-2.7413764447313237e-05,-2.7413764447313237e-05,-2.7413764447313237e-05,-2.7413764447313237e-05,-2.7413764447313237e-05,0.0,0.0,0.0,1.015408824123851,
451,2023-03-11,1.0154949198991547,0.9729896217069218,1.046413281722193,0.9804061445961522,1.0464546801930104,-0.0027329988655149856,-0.0027329988655149856,-0.0027329988655149856,-0.0027329988655149856,-0.0027329988655149856,-0.0027329988655149856,0.0,0.0,0.0,1.0127619210336398,
452,2023-03-12,1.0155536019100109,0.9758025060051141,1.0475841537828587,0.9802775676146436,1.046698987822469,-0.0027329963574254375,-0.0027329963574254375,-0.0027329963574254375,-0.0027329963574254375,-0.0027329963574254375,-0.0027329963574254375,0.0,0.0,0.0,1.0128206055525855,
